City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
220,masuguru,-11.3667,38.4167,31.08,25,44,2.75,TZ,08-07-2023
221,machico,32.7,-16.7667,26.51,77,20,2.06,PT,08-07-2023
222,bengkulu,-3.8004,102.2655,28.73,76,64,4.26,ID,08-07-2023
223,saipan,15.1355,145.701,29.39,100,75,4.63,MP,08-07-2023
224,tromso,69.6496,18.957,13.01,76,20,6.17,NO,08-07-2023
225,lakatoro,-16.0999,167.4164,23.93,79,11,4.55,VU,08-07-2023
226,malango,-2.9627,119.9001,20.48,88,51,0.37,ID,08-07-2023
227,port hedland,-20.3167,118.5667,25.03,15,5,6.17,AU,08-07-2023
228,mkushi,-13.6202,29.3939,23.19,31,0,3.05,ZM,08-07-2023
229,malabar,-33.9667,151.25,15.84,50,0,14.92,AU,08-07-2023
230,rosarito,32.3333,-117.0333,17.54,86,41,1.83,MX,08-07-2023
231,hadibu,12.65,54.0333,28.3,61,77,11.81,YE,08-07-2023
232,caleta de carquin,-11.0925,-77.6267,19.07,81,78,2.69,PE,08-07-2023
233,algarrobo,10.1869,-74.5753,23.89,94,100,2.12,CO,08-07-2023
234,road town,18.4167,-64.6167,28.05,79,76,8.86,VG,08-07-2023
235,dunedin,-45.8742,170.5036,9.89,80,98,1.34,NZ,08-07-2023
236,dudinka,69.4058,86.1778,23.68,76,100,1.81,RU,08-07-2023
237,myeik,12.4333,98.6,27.95,82,100,2.43,MM,08-07-2023
238,laguna,38.421,-121.4238,16.76,71,0,4.12,US,08-07-2023
239,lagos,6.5833,3.75,27.18,88,100,1.68,NG,08-07-2023
240,ghadamis,30.1337,9.5007,38.05,10,0,5.98,LY,08-07-2023
241,ola,59.5833,151.2833,14.34,73,78,1.93,RU,08-07-2023
242,bouarfa,32.53,-1.95,36.13,8,53,11.55,MA,08-07-2023
243,fuerte olimpo,-21.0415,-57.8738,23.92,48,61,3.21,PY,08-07-2023
244,natal,-5.795,-35.2094,23.36,100,75,1.03,BR,08-07-2023
245,nanao,37.05,136.9667,27.93,95,100,7.02,JP,08-07-2023
246,shache,38.4167,77.2406,31.67,17,100,2.23,CN,08-07-2023
247,mazatlan,23.2167,-106.4167,27.98,83,100,0.0,MX,08-07-2023
248,dickinson,29.4608,-95.0513,26.66,91,0,0.0,US,08-07-2023
249,murray bridge,-35.1167,139.2667,12.85,73,5,5.26,AU,08-07-2023
250,hammerfest,70.6634,23.6821,14.25,58,32,6.69,NO,08-07-2023
251,rawson,-43.3002,-65.1023,5.63,61,100,2.13,AR,08-07-2023
252,kerema,-7.9631,145.7785,25.62,89,100,1.2,PG,08-07-2023
253,bukittinggi,-0.3091,100.3706,22.72,87,44,1.56,ID,08-07-2023
254,pertek,38.8663,39.3268,31.76,33,0,3.97,TR,08-07-2023
255,qaqortoq,60.7167,-46.0333,5.52,89,41,2.06,GL,08-07-2023
256,chake chake,-5.2459,39.7666,27.47,59,38,5.17,TZ,08-07-2023
257,milford haven,51.7128,-5.0341,19.5,71,52,7.34,GB,08-07-2023
258,kerikeri,-35.2268,173.9474,9.95,92,93,2.45,NZ,08-07-2023
259,midland,31.9974,-102.0779,26.37,70,75,5.14,US,08-07-2023
